2069 4542 2518 87 	1198 4310 3638 70 	2476 4278 2447 15 	
4537 3273 886 520 	2374 4021 1955 866 	6953 1365 525 373 	
1760 2976 3604 876 	1903 2768 2938 1607 	3579 4308 1309 20 	
545 4571 3857 243 	279 3017 5449 471 	4300 3691 1203 22 	
4066 4130 882 138 	3053 5363 755 45 	6538 2390 270 18 	
945 1429 5996 846 	1114 1315 5814 973 	2307 1774 1665 3470 	
2227 4170 2113 706 	1561 3646 3146 863 	3476 3666 1768 306 	
1278 5765 1753 420 	739 6154 1775 548 	948 5901 1851 516 	
571 6455 2010 180 	508 4090 4129 489 	1330 4677 2402 807 	
2437 4582 1639 558 	1426 3659 3410 721 	6305 1643 907 361 	
5815 2657 551 193 	4536 3602 893 185 	5645 2928 507 136 	
137 1443 6685 951 	208 2384 6195 429 	721 6822 1600 73 	
709 1277 7117 113 	705 1071 7339 101 	850 947 7329 90 	
438 7469 1251 58 	305 7745 1100 66 	2265 6155 739 57 	
2924 3034 2080 1178 	3108 3473 1993 642 	5417 2189 1429 181 	
487 6619 1582 528 	223 5909 2342 742 	1448 5466 1316 986 	
791 1171 7203 51 	804 1247 7126 39 	3074 6087 43 12 	
972 652 4656 2936 	971 828 5129 2288 	1095 3384 3207 1530 	
8 3925 4628 655 	10 3947 4750 509 	9 3639 4903 665 	
4640 2229 1921 426 	2935 3007 2497 777 	6831 1792 542 51 	
701 3980 3317 1218 	736 4530 3231 719 	5706 3045 452 13 	
1057 4664 2168 1327 	600 4232 2792 1592 	4609 2783 1301 523 	
3865 3415 1436 500 	2486 4269 1636 825 	4792 2800 1208 416 	
273 1121 7484 338 	337 1080 7530 269 	329 1262 7384 241 	
1115 5875 1862 364 	1206 6076 1602 332 	3111 5174 881 50 	
200 1017 6832 1167 	349 2196 6468 203 	695 6314 2172 35 	
2268 3773 2746 429 	2437 4000 2460 319 	5056 3296 685 179 	
301 2913 2156 3846 	785 2946 1772 3713 	530 3069 1857 3760 	
539 6312 2327 38 	488 6252 2445 31 	413 6156 2579 68 	
2408 2517 1179 3112 	2500 2465 924 3327 	2909 2172 733 3402 	
644 2904 5611 57 	842 2842 5496 36 	1717 2727 4749 23 	
1327 5079 2287 523 	2037 4476 2369 334 	5441 2357 1312 106 	
6281 1406 1025 504 	6260 1470 1035 451 	6660 1024 1032 500 	
7392 628 665 531 	7427 605 665 519 	7493 571 658 494 	
1753 2224 1482 3757 	2149 2111 1940 3016 	3755 2563 2250 648 	
1674 462 428 6652 	1659 497 802 6258 	1591 550 6344 731 	
1611 5401 1571 633 	1726 5252 1501 737 	4744 3279 837 356 	
805 5516 2885 10 	493 1438 7124 161 	482 859 5965 1910 	
388 3008 5199 621 	328 3000 5092 796 	363 3519 4486 848 	
2336 6549 331 0 	996 5881 2339 0 	5768 3416 32 0 	
4941 2940 1009 326 	2806 4790 1145 475 	6002 2231 670 313 	
985 6784 1280 167 	177 4762 3971 306 	1463 6637 993 123 	
848 7056 1304 8 	568 875 7530 243 	918 565 321 7412 	
338 3937 4616 325 	393 5198 3376 249 	1005 6632 1422 157 	
410 2736 5838 232 	433 2351 3337 3095 	2302 1834 1437 3643 	
428 3096 4307 1385 	1325 4900 2510 481 	5196 3030 952 38 	
91 736 6865 1524 	192 903 7527 594 	1850 6068 1131 167 	
568 3719 4604 325 	600 2603 5780 233 	2285 6387 435 109 	
368 3327 5008 513 	682 2432 5663 439 	1155 2150 5499 412 	
251 5893 2468 604 	361 6476 1954 425 	4585 3866 538 227 	
1855 2365 3373 1623 	1916 2396 3363 1541 	1962 3131 2965 1158 	
316 4526 4363 11 	219 1841 7096 60 	1140 7555 518 3 	
6610 1678 524 404 	3051 4900 824 441 	7913 771 312 220 	
422 3017 4242 1535 	422 2164 5115 1515 	3171 3838 1285 922 	
703 4147 4084 282 	1209 5569 2350 88 	4845 4145 216 10 	
100 4576 4239 301 	186 4231 4763 36 	3000 5922 262 32 	
3424 4787 832 173 	4271 3911 929 105 	3411 4203 1130 472 	
273 970 3390 4583 	257 795 2702 5462 	1089 1836 3319 2972 	
228 640 7966 382 	768 3883 4553 12 	3233 5953 27 3 	
1025 1920 4691 1580 	1366 2470 3836 1544 	5412 2714 625 465 	
1024 2828 3972 1392 	1647 2811 3866 892 	2883 2450 3391 492 	
349 1439 6507 921 	434 1622 6590 570 	668 4744 3505 299 	
1651 4593 2609 363 	1958 5007 2004 247 	4508 3860 774 74 	
961 3243 2651 2361 	491 3629 2309 2787 	5119 619 660 2818 	
4644 1838 619 2115 	2910 3451 788 2067 	5575 983 679 1979 	
87 2111 5913 1105 	76 1420 6435 1285 	74 786 7164 1192 	
342 1267 7117 490 	284 1273 6789 870 	417 1584 6535 680 	
769 4813 3119 515 	698 4727 3072 719 	3266 3218 1626 1106 	
60 550 7097 1509 	232 4799 4152 33 	2534 6424 258 0 	
3835 3282 1038 1061 	3924 3240 922 1130 	4620 2643 783 1170 	
1792 2217 4583 624 	1594 1671 5045 906 	2971 4430 1636 179 	
403 415 460 7938 	395 417 328 8076 	397 419 128 8272 	
203 4266 2958 1789 	127 3558 3300 2231 	3660 3269 1292 995 	
3919 5077 108 112 	2227 6734 155 100 	736 7574 841 65 	
324 7110 1508 274 	369 4069 4502 276 	786 2224 5458 748 	
2535 730 1052 4899 	2692 604 3939 1981 	2958 2773 3478 7 	
27 475 2290 6424 	85 363 2716 6052 	355 1798 6734 329 	
